owner,title,desc,address,city,state,zip,uploadedPhotos,perks,availabilities
eilic,Lovely apartment close to SJSU Campus!,"Spacious apartment, pet friendly",1234 Blossom Hill Rd,San Jose,California,95124,julian7.png,Pets allowed,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
phuynh,Miro apartments,Scenic apartments with many amenities,181 E Santa Clara St,San Jose,California,95113,julian6.png,Kitchen Access,"2024-05-12,2024-05-20, + 2024-05-30,2024-06-10, + 2024-07-01,2024-07-15, + 2024-07-16,2024-07-30,"
jtaylor,Room at the JULIAN!,"Nestled in a quiet suburban neighborhood, our home offers a spacious bedroom with a cozy study area, perfect for students seeking a peaceful environment to focus on their studies. Enjoy home-cooked meals, high-speed internet, and a welcoming family atmosphere.",5678 Almaden Expy,San Jose,California,95120,julian5.png,Airport pickup+Airport dropoff+Private Bedroom,"2024-05-01,2024-05-15, + 2024-06-16,2024-06-30, + 2024-07-01,2024-07-30, + 2024-08-30,2024-09-15,"
jtaylor,ROOM FOR STUDENTS,"Located just minutes away from the city center, our modern apartment provides a private room with an en-suite bathroom. Students will appreciate the close proximity to public transportation, local cafes, and libraries, ensuring a convenient and enriching stay",2345 Pearl Ave,San Jose,California,95136,julian4.png,Airport pickup+Airport dropoff,"2024-05-15,2024-05-30, + 2024-06-01,2024-06-30, + 2024-07-01,2024-07-15, + 2024-08-01,2024-08-10,"
eilic,1Bedroom at The Grad,Pets welcome! Two bedroom apartment for SJSU students!,9101 Willow St,San Jose,California,95125,julian3.png,Airport pickup+Airport dropoff+Private Bedroom+Groceries provided+Kitchen Access+Pets allowed,"2024-05-01,2024-05-15, + 2024-05-30,2024-06-30, + 2024-07-01,2024-07-10, + 2024-08-04,2024-08-20,"
cmatthews,Housing at The Grad,"Our historic house boasts charming architecture and a large garden. Students will have a private room with a desk and ample storage space. We offer a warm, family-oriented environment with shared meals and plenty of support for your academic journey.",88 E San Carlos St,San Jose,California,95112,julian2.png,Airport pickup+Airport dropoff+Private Bedroom+Groceries provided+Kitchen Access,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
tmarrero,Room available,Shared meals cooked by me every day,171 W Julian St,San Jose,California,95110,julian1.png,Groceries provided,"2024-05-10,2024-05-15, + 2024-06-30,2024-06-10, + 2024-07-01,2024-07-15, + 2024-08-01,2024-08-30,"
tturner,Gorgeous room at the Miro,Your senator has decided to help with student housing by personally making some of her properties available,3847 Meridian Ave,San Jose,California,95124,miro6.png,Private Bedroom+Airport pickup,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-31, + 2024-06-01,2024-06-15, + 2024-06-16,2024-06-30,"
bscott,Room available for fellow students! ,"Experience life in a vibrant urban neighborhood with our stylish, fully-furnished apartment. Students will enjoy a private bedroom, access to a shared kitchen, and a comfortable living space. Ideal for those who thrive in a lively, bustling area",8811 E San Carlos St,San Jose,California,95112,miro5.png,Airport pickup+Airport dropoff,"2024-06-01,2024-06-20, + 2024-07-01,2024-07-20, + 2024-08-01,2024-08-20, + 2024-09-01,2024-09-20,"
cberzatto,Empty apartment,Privacy ensured,6789 Camden Ave,San Jose,California,95124,miro4.png,Airport dropoff+Pets allowed,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
cberzatto,"Room open, 1bed 1bath","Stay in a serene countryside retreat, perfect for students who need a break from the hustle and bustle. Our spacious home features a private study room, home-cooked meals, and beautiful outdoor spaces for relaxation and inspiration.",1357 King Rd,San Jose,California,95116,miro3.png,Airport pickup+Airport dropoff+Private Bedroom+Kitchen Access+Groceries provided,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
cmatthews,Beautiful apartment at The Grad,"Live in a modern townhouse with all the amenities you need. Students will have their own room with a desk, access to a shared kitchen, and a living room. The area is well-connected by public transport, making commuting to school a breeze.",88 E San Carlos St,San Jose,California,95112,miro2.png,Kitchen Access+Private Bedroom,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
cberzatto,"I'm not using this apartment, 2bed 2bath","Our home is a cozy, family-friendly space located in a safe residential area. Students will have a private room, access to high-speed internet, and enjoy family dinners. We are committed to providing a supportive and nurturing environment",1011 Tully Rd,San Jose,California,95122,miro1.png,Pets allowed+Kitchen Access+Groceries provided,"2024-05-01,2024-05-15, + 2024-05-30,2024-06-30, + 2024-07-01,2024-07-10, + 2024-08-04,2024-08-20,"
